trade_date,code,name,close,pct_chg,amount,turnover_rate,attack_k,days_since_attack,retains_attack_close,center_not_falling_5d,volume_contracting_5d,range_contracting_5d,pre_ignition_window,scan_score
2026-08-21,000723,美锦能源,3.54,-1.939,404392187.0,,False,2.0,False,True,False,False,False,1
2026-08-21,688217,睿昂基因,24.77,-1.94,35215347.0,,False,1.0,False,True,False,False,False,1
2026-08-21,300908,仲景食品,24.51,-1.96,52615422.0,,False,3.0,False,True,False,False,False,1
2026-08-21,920161,龙辰科技,26.5,-1.961,99693425.0,,False,5.0,False,True,False,False,False,1
2026-08-21,688426,康为世纪,22.42,-1.968,197332591.0,,False,1.0,False,True,False,False,False,1
2026-08-21,300649,杭州园林,25.36,-1.971,148153495.0,,False,1.0,False,True,False,False,False,1
2026-08-21,301021,英诺激光,75.8,-1.979,757680646.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300017,网宿科技,15.54,-2.018,2265028940.0,,False,5.0,False,True,False,True,False,1
2026-08-21,688115,思林杰,68.26,-2.038,111386739.0,,False,5.0,False,True,False,False,False,1
2026-08-21,603725,天安新材,11.9,-2.058,162037673.0,,False,5.0,False,True,False,False,False,1
2026-08-21,920066,科拜尔,17.09,-2.063,13715429.0,,False,1.0,False,True,False,False,False,1
2026-08-21,920407,驰诚股份,10.87,-2.072,8874085.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300667,必创科技,14.62,-2.076,122683999.0,,False,1.0,False,True,False,False,False,1
2026-08-21,300433,蓝思科技,37.19,-2.08,3835453852.0,,False,3.0,False,True,False,False,False,1
2026-08-21,605268,王力安防,9.25,-2.116,50034644.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300416,苏试试验,14.7,-2.13,213265491.0,,False,4.0,False,True,False,False,False,1
2026-08-21,301115,联检科技,29.92,-2.158,182775262.0,,False,5.0,False,True,False,False,False,1
2026-08-21,603773,沃格光电,100.99,-2.179,1970762973.0,,False,3.0,False,True,False,False,False,1
2026-08-21,603886,元祖股份,12.09,-2.184,137295775.0,,False,1.0,False,True,False,False,False,1
2026-08-21,301319,唯特偶,110.15,-2.193,1216806068.0,,False,3.0,False,True,False,False,False,1
2026-08-21,920206,彩客科技,42.6,-2.204,123977418.0,,False,1.0,False,True,False,False,False,1
2026-08-21,600824,益民集团,3.55,-2.204,74738528.0,,False,4.0,False,True,False,False,False,1
2026-08-21,601366,利群股份,3.55,-2.204,69650483.0,,False,4.0,False,True,False,False,False,1
2026-08-21,605577,龙版传媒,9.73,-2.211,71380859.0,,False,3.0,False,True,False,False,False,1
2026-08-21,600330,天通股份,27.27,-2.223,2988868325.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300991,创益通,28.75,-2.244,133323334.0,,False,1.0,False,True,False,False,False,1
2026-08-21,002582,好想你,10.35,-2.266,244409046.0,,False,3.0,False,True,False,False,False,1
2026-08-21,002284,亚太股份,9.33,-2.304,265508874.0,,False,3.0,False,True,False,False,False,1
2026-08-21,001277,速达股份,35.43,-2.316,529328787.0,,False,1.0,False,True,False,False,False,1
2026-08-21,001400,江顺科技,80.33,-2.334,327631834.0,,False,2.0,False,True,False,False,False,1
2026-08-21,002860,星帅尔,17.4,-2.357,293493892.0,,False,1.0,False,True,False,False,False,1
2026-08-21,300035,中科电气,13.85,-2.396,424222367.0,,False,2.0,False,True,False,False,False,1
2026-08-21,002040,南 京 港,8.9,-2.412,278189054.0,,False,2.0,False,True,False,False,False,1
2026-08-21,688195,腾景科技,172.0,-2.428,1921638705.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300948,冠中生态,20.48,-2.43,78764494.0,,False,4.0,False,True,False,False,False,1
2026-08-21,688003,天准科技,85.0,-2.478,585703912.0,,False,4.0,False,True,False,False,False,1
2026-08-21,688317,之江生物,17.7,-2.479,75704800.0,,False,4.0,False,True,False,False,False,1
2026-08-21,603303,得邦照明,22.97,-2.504,95289580.0,,False,1.0,False,True,True,False,False,1
